ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
48857;Richardson Hitchins;M;18.0;;;Haiti;HAI;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Welterweight;
48908;V'iacheslav Valeriyovych Hlazkov;M;23.0;189.0;97.0;Ukraine;UKR;2008 Summer;2008;Summer;Beijing;Boxing Men's Super-Heavyweight;Bronze
49650;Hom Mu-Won;M;22.0;165.0;48.0;South Korea;KOR;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Flyweight;
49816;Damien Duncan Hooper;M;20.0;180.0;;Australia;AUS;2012 Summer;2012;Summer;London;Boxing Men's Light-Heavyweight;
49906;Bradley Hore;M;22.0;167.0;51.0;Australia;AUS;2004 Summer;2004;Summer;Athina;Boxing Men's Flyweight;
49958;"Jeffrey ""Jeff"" Horn";M;24.0;175.0;;Australia;AUS;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;
50281;Abderrazak Houya;M;25.0;177.0;;Tunisia;TUN;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;
50289;Artur Hovhannisyan;M;20.0;160.0;49.0;Armenia;ARM;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Flyweight;
50473;Filip Hrgovi;M;24.0;198.0;101.0;Croatia;CRO;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Super-Heavyweight;Bronze
50477;Pongsak Hrientounthong;M;27.0;171.0;63.0;Thailand;THA;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Welterweight;
50565;Hu Jianguan;M;23.0;168.0;52.0;China;CHN;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Flyweight;Bronze
50573;Hu Qianxun;M;28.0;178.0;64.0;China;CHN;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Welterweight;
50574;Hu Qing;M;22.0;183.0;60.0;China;CHN;2008 Summer;2008;Summer;Beijing;Boxing Men's Lightweight;
50774;Serdar Hudaberdiew;M;25.0;175.0;60.0;Turkmenistan;TKM;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;
50821;Juan Huertas Garca;M;18.0;;;Panama;PAN;2012 Summer;2012;Summer;London;Boxing Men's Lightweight;
51087;Michael S Hunter;M;24.0;188.0;91.0;United States;USA;2012 Summer;2012;Summer;London;Boxing Men's Heavyweight;
51196;Vtn Hseynli;M;20.0;185.0;;Azerbaijan;AZE;2012 Summer;2012;Summer;London;Boxing Men's Light-Heavyweight;
51198;Rvn Hseynov;M;28.0;167.0;60.0;Azerbaijan;AZE;2004 Summer;2004;Summer;Athina;Boxing Men's Lightweight;
51199;Rft Hseynov;M;19.0;170.0;49.0;Azerbaijan;AZE;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Flyweight;
51250;Rohollah Husseini;M;21.0;182.0;91.0;Iran;IRI;2000 Summer;2000;Summer;Sydney;Boxing Men's Heavyweight;
51261;Falk Huste;M;28.0;176.0;57.0;Germany;GER;2000 Summer;2000;Summer;Sydney;Boxing Men's Featherweight;
51262;Kay Huste;M;25.0;176.0;60.0;Germany;GER;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Welterweight;
51360;Oleksandr Serhiyovych Hvozdyk;M;25.0;190.0;81.0;Ukraine;UKR;2012 Summer;2012;Summer;London;Boxing Men's Light-Heavyweight;Bronze
51394;Hwang Seong-Beom;M;25.0;168.0;63.0;South Korea;KOR;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Welterweight;
51499;Hussein Iashaish;M;20.0;180.0;95.0;Jordan;JOR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Super-Heavyweight;
51539;Sultan-Akhmed Magomedsalikhovich Ibragimov;M;25.0;184.0;91.0;Russia;RUS;2000 Summer;2000;Summer;Sydney;Boxing Men's Heavyweight;Silver
51578;Yermakhan Sagiyevich Ibraimov;M;28.0;180.0;71.0;Kazakhstan;KAZ;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Middleweight;Gold
51662;Toshiyuki Igarashi;M;20.0;166.0;48.0;Japan;JPN;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Flyweight;
51688;Roniel Iglesias Sotolongo;M;19.0;177.0;64.0;Cuba;CUB;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Welterweight;Bronze
51688;Roniel Iglesias Sotolongo;M;23.0;177.0;64.0;Cuba;CUB;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;Gold
51688;Roniel Iglesias Sotolongo;M;27.0;177.0;64.0;Cuba;CUB;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Welterweight;
51788;Khumiso Stephen Ikgopoleng;M;24.0;168.0;54.0;Botswana;BOT;2004 Summer;2004;Summer;Athina;Boxing Men's Featherweight;
51788;Khumiso Stephen Ikgopoleng;M;28.0;168.0;54.0;Botswana;BOT;2008 Summer;2008;Summer;Beijing;Boxing Men's Bantamweight;
51964;Im Jeong-Bin;M;27.0;178.0;75.0;South Korea;KOR;2000 Summer;2000;Summer;Sydney;Boxing Men's Middleweight;
52051;ahin mranov;M;23.0;170.0;57.0;Azerbaijan;AZE;2004 Summer;2004;Summer;Athina;Boxing Men's Featherweight;
